year,region,educ,educ_count,educ_share
1993,South,Advanced,3823218.7785212197,0.06811663126338814
1993,West,High school,10349573.947255453,0.2979457708924605
1993,West,Some college,9817568.731786093,0.2826302898060277
1993,West,College,5724463.2217343645,0.16479708403817692
1993,West,Less than high school,6090687.7664814,0.17534003535776543
1993,West,Advanced,2754141.4774824777,0.07928681990556949
1994,South,Less than high school,12703118.423199972,0.22261836253660855
1994,South,Some college,13454703.063170115,0.23578965924374196
1994,South,High school,19082237.374654133,0.3344105200280634
1994,South,Advanced,3851048.655230204,0.06748847937294086
1994,South,College,7971204.3184712725,0.13969297881864537
1994,West,High school,10297054.35818418,0.29260048214890405
1994,West,Some college,10289140.289220175,0.29237559643750766
1994,West,Less than high school,5969819.321196874,0.16963802957257385
1994,West,Advanced,2765023.095602671,0.07857073127745119
1994,West,College,5870478.283142726,0.1668151605635632
1994,Northeast,Less than high school,5798880.766958873,0.17249009396240658
1994,Northeast,College,5280677.269312541,0.1570759177458571
1994,Northeast,High school,12632951.513206482,0.375772339716218
1994,Northeast,Some college,6744672.53250885,0.20062305910942785
1994,Northeast,Advanced,3161448.6100616455,0.09403858946609041
1994,Midwest,High school,14690011.955712637,0.3826490561881153
1994,Midwest,Advanced,2580642.106318156,0.06722120235973952
1994,Midwest,College,5497473.958808263,0.14319955818270633
1994,Midwest,Less than high school,6221953.35730807,0.16207097632038042
1994,Midwest,Some college,9400218.344664255,0.24485920694905852
1995,South,High school,19257608.65242386,0.33112049762437495
1995,South,Less than high school,12448891.30437088,0.2140495820625275
1995,South,College,8260863.091875712,0.14203949966780716
1995,South,Some college,14129005.992525736,0.24293792545182138
1995,South,Advanced,4062545.2833099365,0.06985249519346895
1995,West,High school,10162422.634778341,0.2840764572755166
1995,West,College,6021182.702601115,0.16831382754244736
1995,West,Some college,10692087.429052353,0.2988825034033362
1995,West,Advanced,2882929.492703756,0.08058830323191418
1995,West,Less than high school,6014925.229603131,0.16813890854678573
1995,Northeast,Some college,6790964.576796213,0.20239376252182426
1995,Northeast,Less than high school,5595029.397444407,0.166750840526873
1995,Northeast,College,5478133.577212015,0.16326694886283044
1995,Northeast,High school,12451707.141320547,0.3711030781639961
1995,Northeast,Advanced,3237395.8622639976,0.09648536992447612
1995,Midwest,Advanced,2772944.124373436,0.07162239806636966
1995,Midwest,College,5778051.4214379,0.14924134075283163
1995,Midwest,Less than high school,6078846.166079839,0.1570105708457333
1995,Midwest,High school,14364202.356289864,0.3710131084233589
1995,Midwest,Some college,9722114.55309073,0.25111258191170654
1996,South,College,8589068.513748169,0.14562096822333725
1996,South,Less than high school,12475737.55616506,0.2115164152342066
1996,South,High school,19612117.732139587,0.33250818391923054
1996,South,Some college,14122147.165042877,0.23943000807063966
1996,South,Advanced,4183290.0111338296,0.07092442455258595
1996,West,High school,10004713.724782309,0.2764043523530747
1996,West,Some college,10684531.118847528,0.295185947878342
1996,West,College,6430075.547363917,0.17764634912521077
1996,West,Less than high school,6147815.358427048,0.1698482304719107
1996,West,Advanced,2928798.358022054,0.08091512017146187
1996,Northeast,High school,12402227.439343771,0.36693364565277864
1996,Northeast,College,5712326.543566386,0.16900551244050208
1996,Northeast,Advanced,3237089.192606608,0.09577287181319433
1996,Northeast,Some college,6808185.884615581,0.20142772571633835
1996,Northeast,Less than high school,5639817.241803487,0.1668602443771867
1996,Midwest,High school,14520425.885409355,0.3698050587769366
1996,Midwest,Less than high school,5925589.842080434,0.15091245374837686
1996,Midwest,Some college,9931301.13880539,0.25292959244795915
1996,Midwest,College,5984898.030558904,0.1524229100049163
1996,Midwest,Advanced,2902866.9098498025,0.07392998502181101
1997,South,High school,20194786.87839508,0.33658514630820746
1997,South,Some college,14134268.32568868,0.23557489370937426
1997,South,Less than high school,12258052.31967163,0.20430412850181212
1997,South,College,8964469.912867228,0.14941021340640812
1997,South,Advanced,4447466.192899068,0.07412561807419801
1997,West,High school,10176654.244400024,0.27474422783136093
1997,West,Some college,10942736.177841822,0.2954265251959239
1997,West,College,6650783.467151006,0.17955452983592182
1997,West,Less than high school,6277811.778442383,0.1694852264915936
1997,West,Advanced,2992480.3857282004,0.0807894906451997
1997,Northeast,High school,12421761.334083557,0.36688807042027594
1997,Northeast,Some college,6823665.381011963,0.2015431916216106
1997,Northeast,College,5835777.590906779,0.17236502313523458
1997,Northeast,Less than high school,5505492.44296519,0.162609749518419
1997,Northeast,Advanced,3270390.2908325195,0.09659396530445985
1997,Midwest,Less than high school,5748415.032063167,0.14579048319225954
1997,Midwest,Some college,9982084.152469,0.2531641963457764
1997,Midwest,College,6126907.285485585,0.1553897498080482
1997,Midwest,High school,14672367.62218221,0.37211849758257043
1997,Midwest,Advanced,2899514.4744790397,0.07353707307134545
1998,South,Some college,14474010.145263672,0.2374426352711572
1998,South,College,9463721.816614786,0.15525006719340134
1998,South,Advanced,4678920.493754069,0.07675655890186966
1998,South,High school,20332570.10130183,0.3335508942052561
1998,South,Less than high school,12008701.569600424,0.1969998444283157
1998,West,Some college,10851551.910928091,0.28903473943282526
1998,West,Advanced,3188800.715376536,0.08493478089008531
1998,West,Less than high school,6352589.9732278185,0.1692033731863192
1998,West,College,6895868.015576045,0.1836737667944041
1998,West,High school,10255298.899969736,0.2731533396963662
1998,Northeast,High school,12269736.037439981,0.36312243872054645
1998,Northeast,College,5829377.092473348,0.1725202253399304
1998,Northeast,Some college,6914548.935165405,0.20463585070846324
1998,Northeast,Less than high school,5426546.735186259,0.16059847402576957
1998,Northeast,Advanced,3349319.824493408,0.09912301120529042
1998,Midwest,Advanced,3072700.8137861886,0.07741526431338602
1998,Midwest,College,6343699.287457149,0.15982654570849686
1998,Midwest,High school,14666615.129019419,0.3695185296601258
1998,Midwest,Less than high school,5587658.431410472,0.14077844885508
1998,Midwest,Some college,10020475.63606135,0.25246121146291123
1999,South,Less than high school,11561968.336591085,0.1876701341444487
1999,South,High school,20523564.573516846,0.33313186859753846
1999,South,Some college,14934682.315282186,0.24241493765758793
1999,South,Advanced,4876305.600723267,0.07915061688249525
1999,South,College,9711408.369972229,0.15763244271792962
1999,West,High school,10359073.75048256,0.2707013471389946
1999,West,Less than high school,6208137.590254466,0.16222987203154432
1999,West,Some college,11070693.45898056,0.289297258161647
1999,West,College,7256180.448489507,0.18961712888647422
1999,West,Advanced,3373451.503885905,0.08815439378133995
1999,Northeast,Less than high school,5239333.808469136,0.15426287151654738
1999,Northeast,Some college,7019394.2691014605,0.2066735878725728
1999,Northeast,College,6021034.7197647095,0.17727866544222418
1999,Northeast,High school,12213691.015642801,0.3596104231502343
1999,Northeast,Advanced,3470219.733103434,0.10217445201842132
1999,Midwest,High school,14462955.877799353,0.3624191662064439
1999,Midwest,Less than high school,5327480.524106979,0.13349837099978093
1999,Midwest,Advanced,3198289.291865667,0.08014415229076408
1999,Midwest,Some college,10333114.357376734,0.2589317648036777
1999,Midwest,College,6584868.05479304,0.1650065456993334
2000,South,High school,21049224.248524982,0.3324617016721744
2000,South,Some college,15360561.702128092,0.24261219424691124
2000,South,College,10028251.33112081,0.15839108667267404
2000,South,Less than high school,11796924.259086609,0.1863263684859324
2000,South,Advanced,5078268.652735393,0.08020864892230783
2000,West,High school,10488849.318155924,0.2692934331310863
2000,West,Some college,11422222.989023209,0.2932571104228301
2000,West,Less than high school,6222908.079785029,0.15976855325433464
2000,West,Advanced,3404383.05190595,0.08740501192577146
2000,West,College,7411154.179148356,0.19027589126597746
2000,Northeast,Less than high school,5358146.960057576,0.15235927131829943
2000,Northeast,College,6404641.704322815,0.1821164201727923
2000,Northeast,Advanced,3700674.223546346,0.10522892191816183
2000,Northeast,Some college,7308078.769002278,0.20780571422959948
2000,Northeast,High school,12396301.518585205,0.3524896723611469
2000,Midwest,Some college,10828979.806506475,0.26462130272421286
2000,Midwest,Less than high school,5302640.634489059,0.1295774576783077
2000,Midwest,High school,14674787.154452642,0.3585989967105292
2000,Midwest,College,6796658.329848607,0.1660858745285754
2000,Midwest,Advanced,3319489.042971929,0.08111636835837488
2001,South,High school,21011562.232444763,0.32870280746301356
2001,South,Some college,15601565.13086319,0.2440693463246163
2001,South,Less than high school,11741180.398084005,0.18367786826533683
2001,South,College,10379150.03132248,0.16237039952733523
2001,South,Advanced,5189215.684326172,0.08117957841969807
2001,West,High school,10423727.350731531,0.2655221142032924
2001,West,Some college,11470233.60356903,0.2921796181297432
2001,West,Advanced,3498369.7225144706,0.08911347100052826
2001,West,College,7544320.805020015,0.19217540357444374
2001,West,Less than high school,6320821.975727081,0.16100939309199247
2001,Northeast,High school,12457939.989512125,0.34988723922741277
2001,Northeast,Advanced,3949433.0648104353,0.11092172804840254
2001,Northeast,College,6430403.890096028,0.18060098749207618
2001,Northeast,Some college,7495820.3042907715,0.2105237201512473
2001,Northeast,Less than high school,5271988.187960307,0.14806632508086115
2001,Midwest,Some college,11141699.521619797,0.26846812967227257
2001,Midwest,High school,14727897.2682511,0.35488042250110075
2001,Midwest,College,6892973.408437729,0.16609168783030975
2001,Midwest,Advanced,3470274.6046435037,0.08361903233434002
2001,Midwest,Less than high school,5268168.874987285,0.12694072766197687
2002,South,Less than high school,11765251.70158132,0.18229017557738716
2002,South,High school,20962260.09193675,0.3247881277494821
2002,South,Some college,15746606.321470896,0.24397706941561806
2002,South,College,10820507.282674154,0.16765235648379337
2002,South,Advanced,5246711.864841461,0.0812922707737193
